GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
8600000US73430,73430,ZCTA5 73430,31,16,0,9,5,7,4,6,0,9,0,9,0,9,0,9,0,9,3,6,19,14
8600000US73931,73931,ZCTA5 73931,64,20,5,5,29,19,3,4,0,9,0,9,2,3,0,9,0,9,5,9,20,13
8600000US73949,73949,ZCTA5 73949,158,46,16,10,21,19,16,14,14,14,25,21,0,11,4,6,1,4,7,10,54,27
8600000US75001,75001,ZCTA5 75001,6859,288,257,125,1227,254,1164,201,970,213,795,169,506,148,559,171,365,114,837,204,179,85
8600000US75002,75002,ZCTA5 75002,5039,422,148,83,387,160,1015,293,766,191,560,185,499,204,285,190,349,131,730,203,300,133
8600000US75006,75006,ZCTA5 75006,8412,402,308,135,741,166,973,193,1528,284,1025,215,614,149,559,179,831,203,1541,261,292,112
8600000US75007,75007,ZCTA5 75007,5190,337,116,73,408,131,637,175,804,184,598,157,579,150,224,94,436,138,1138,156,250,105
8600000US75009,75009,ZCTA5 75009,568,177,60,94,115,88,50,54,40,63,128,123,79,70,21,33,50,80,8,9,17,16
8600000US75010,75010,ZCTA5 75010,5454,387,290,164,748,217,769,215,899,227,618,221,392,174,305,146,543,220,693,180,197,135
